brand,eans,file_urls,files,model,model_2,product,product_lang,source,thumb,type,url
Tp-link,,"https://static.tp-link.com/JetStream_T1600_Series_Smart_Switches_Datasheet_1479042776750n.pdf,https://static.tp-link.com/1910011882_802.1X Client Software_User Guide.pdf,https://static.tp-link.com/1910011882_802.1X Client Software_User Guide.pdf,https://static.tp-link.com/7106507529_T1600G_IG.pdf,https://static.tp-link.com/1910012176_T1600G_CLI.pdf,https://static.tp-link.com/1910012255_T1600G_CG.pdf",,T1600G-28PS,,Switches PoE Switches,en,tp-link.com,https://static.tp-link.com/T1600G-28PS(UN)2.0_1500952104255b.jpg,JetStream T1600 Series Smart Switches Datasheet,https://www.tp-link.com/en/support/download/t1600g-28ps/v2/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2018/201809/20180926/TL-SF1005P(UN)1.0 Datasheet.pdf,https://static.tp-link.com/2019/201912/20191218/7106508149_TL-SF1005P(UN)_IG_V1.pdf",,TL-SF1005P,,Switches PoE Switches,en,tp-link.com,https://static.tp-link.com/TL-SF1005P(UN)1.0-A_1504604217721g.jpg,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sf1005p/v1/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2020/202006/20200628/TL-SF1005P(UN)2.0 Datasheet.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://static.tp-link.com/2021/202105/20210517/7106509224_TL-SF1005P(UN)4.0, TL-SF1005P(UN)2.0，TL-SF1005LP(UN) 1.0_IG.pdf",,TL-SF1005P,,Switches PoE Switches,en,tp-link.com,https://static.tp-link.com/TL-SF1005P(UN)2_normal_1592221855560y.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sf1005p/v2/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf",,TL-SF1005P,,Switches PoE Switches,en,tp-link.com,,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sf1005p/v3/
Tp-link,,"https://static.tp-link.com/2018/201811/20181123/T1600G series Datasheet.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://static.tp-link.com/1910011882_802.1X Client Software_User Guide.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/2018/201803/20180327/7106507852_IG.pdf,https://static.tp-link.com/2019/201905/20190528/1910012564_T1600G_CLI.pdf",,T1600G-28PS,,Switches PoE Switches,en,tp-link.com,https://static.tp-link.com/T1600G-28PS(UN)3.0_1516616194874s.jpg,Datasheet,https://www.tp-link.com/en/support/download/t1600g-28ps/v3/
Tp-link,,"https://static.tp-link.com/upload/product-overview/2021/202108/20210827/TL-SF1005P(UN)4.0 Datasheet.pdf,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2021/202105/20210517/7106509224_TL-SF1005P(UN)4.0, TL-SF1005P(UN)2.0，TL-SF1005LP(UN) 1.0_IG.pdf",,TL-SF1005P,,Switches PoE Switches,en,tp-link.com,,Datasheet,https://www.tp-link.com/en/support/download/tl-sf1005p/v4/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2019/201903/20190321/T1500-Series-Datasheet.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf,https://static.tp-link.com/2020/202007/20200707/1910012765_T1500 Series_UG.pdf,https://static.tp-link.com/2020/202007/20200713/1910012775_T1500 series_CLI.pdf",,TL-SL2428P,,Omada Cloud SDN Switches,en,tp-link.com,,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sl2428p/v3/
Tp-link,,"https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Smart Switch_T16(210630).pdf,https://static.tp-link.com/upload/manual/2021/202109/20210906/7106509351_TL-SG2008(UN)_IG.pdf,https://static.tp-link.com/manual/2021/202107/20210702/7106509251_TL-SG2008(UN)4.0_IG.pdf",,TL-SG2008,,Omada Cloud SDN Switches,en,tp-link.com,,Datasheet,https://www.tp-link.com/en/support/download/tl-sg2008/v4/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2020/202007/20200707/1910012765_T1500 Series_UG.pdf,https://static.tp-link.com/2020/202009/20200914/1910012775_T1500 Series_CLI.pdf",,TL-SG2210P,,Omada Cloud SDN Switches,en,tp-link.com,,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2210p/v2/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/resources/document/TL-SG2210P_V1_Datasheet.pdf,https://static.tp-link.com/1910011882_802.1X Client Software_User Guide.pdf,https://static.tp-link.com/resources/document/TL-SG2210P_V1_CLI_Reference_Guide.pdf,https://static.tp-link.com/resources/document/TL-SG2210P_V1_UG.pdf,https://static.tp-link.com/resources/document/TL-SG2210P_V1_QIG.pdf",,TL-SG2210P,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/res/images/products/TL-SG2210P_un_V1_default.jpg,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2210p/v1/
Tp-link,,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,,TL-SG2210P,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG2210P(UN)3.2_normal_1594974261923z.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2210p/v3/
Tp-link,,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,,TL-SG2210P,,Omada Cloud SDN Switches,en,tp-link.com,,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2210p/v3.26/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2021/202101/20210107/SDN Smart Switch.pdf,https://static.tp-link.com/2020/202012/20201215/SDN Smart Switch.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/manual/2021/202107/20210705/7106509264_TL-SG2210P&TL-SG2008P(UN)_IG.pdf,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/2020/202008/20200821/1910012864-Omada SDN Controller User Guide.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf",,TL-SG2210P,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG2210P(UN)3.2_normal_1594974261923z.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2210p/v3.20/
Tp-link,,"https://static.tp-link.com/resources/document/TL-SG2008_V1_Datasheet.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/1910011882_802.1X Client Software_User Guide.pdf,https://static.tp-link.com/res/down/doc/TL-SG2008_V1_QIG.pdf,https://static.tp-link.com/resources/document/TL-SG2008_V1_UG.pdf,https://static.tp-link.com/resources/document/TL-SG2008_V1_CLI.pdf",,TL-SG2008,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG2008(UN)3.0_overview_normal_1594973638173v.png,Datasheet,https://www.tp-link.com/en/support/download/tl-sg2008/v1/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210806/7106509324_TL-SG3428_IG.pdf",,TL-SG3452P,,Omada Cloud SDN Switches,en,tp-link.com,,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg3452p/v2/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Gigabit Managed Switch.pdf,https://www.tp-link.com/us/user-guides/omada-sdn-software-controller/,https://static.tp-link.com/2020/202011/20201103/1910012904_T16_T26_CLI.pdf,https://static.tp-link.com/2020/202011/20201103/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210806/7106509324_TL-SG3428_IG.pdf,https://static.tp-link.com/2020/202008/20200821/1910012864-Omada SDN Controller User Guide.pdf",,TL-SG3452P,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG3452P_A_normal_1611045663900u.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg3452p/v1/
Tp-link,,"https://static.tp-link.com/resources/document/TL-SG3210_V1_Datasheet.pdf,https://static.tp-link.com/resources/document/TL-SG3210_V1_User_Guide.pdf,https://static.tp-link.com/resources/document/TL-SG3210_V1_CLI_Guide.pdf,https://static.tp-link.com/resources/document/TL-SG3210_CE_DOC.pdf,https://static.tp-link.com/resources/document/7106503627_TL-SG3210_QIG.pdf",,TL-SG3210,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/res/images/products/default/TL-SG3210.jpg,Datasheet,https://www.tp-link.com/en/support/download/tl-sg3210/v1/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Gigabit Managed Switch.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210806/7106509324_TL-SG3428_IG.pdf",,TL-SG3428MP,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG3428MP_UN_1_normal_1611127048164m.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg3428mp/v2/
Tp-link,,"https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf,https://static.tp-link.com/2021/202101/20210107/SDN Smart Switch.pdf,https://static.tp-link.com/2020/202012/20201215/SDN Smart Switch.pdf,https://static.tp-link.com/2020/202008/20200827/Switch Regulatory Compliance.pdf,https://www.tp-link.com/us/user-guides/omada-sdn-software-controller/,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/2020/202012/20201223/1910012926-Omada SDN Controller 4.2.4-User Guide.pdf,https://static.tp-link.com/manual/2021/202107/20210702/7106509248_T1600G_IG.pdf,https://static.tp-link.com/2020/202008/20200821/1910012864-Omada SDN Controller User Guide.pdf,https://static.tp-link.com/2020/202009/20200914/1910012775_T1500 Series_CLI.pdf,https://static.tp-link.com/2020/202011/20201104/1910012903_T16_T26_UG.pdf,https://static.tp-link.com/upload/manual/2021/202108/20210820/Wall Mountable Switches_Wall Mounting Guide.pdf",,TL-SG2210MP,,Omada Cloud SDN Switches,en,tp-link.com,https://static.tp-link.com/TL-SG2210MP(UN)1.0_normal_1594869351357s.png,PoE Switch Series Product Introduction,https://www.tp-link.com/en/support/download/tl-sg2210mp/v1/
Tp-link,,"https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Smart Switch_T16(210630).pdf,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf",,TL-SG2210MP,,Omada Cloud SDN Switches,en,tp-link.com,,Datasheet,https://www.tp-link.com/en/support/download/tl-sg2210mp/v2/
Tp-link,,"https://static.tp-link.com/product-overview/2021/202107/20210719/SDN Gigabit Managed Switch.pdf,https://static.tp-link.com/2021/202102/20210204/TP-Link PoE Switch Series Flyer.pdf",,TL-SG3428MP,,Omada Cloud SDN Switches,en,tp-link.com,,Datasheet,https://www.tp-link.com/en/support/download/tl-sg3428mp/v3/
