brand,eans,file_urls,files,model,model_2,parent_product,product,product_lang,source,thumb,type,url
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024_8.0_1500942854402j.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024/v7/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1024_CE_DOC.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024_8.0_1500942854402j.JPG,CE DOC,https://www.tp-link.com/pt/support/download/tl-sf1024/v7/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024_8.0_1500942976200j.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024/v1/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1024_V8_datasheet.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024_8.0_1500943084007t.JPG,Datasheet,https://www.tp-link.com/pt/support/download/tl-sf1024/v8/
Tp-link,,https://static.tp-link.com/2019/201904/20190426/TL-SG105SG108SG116(UN)_Datasheet.pdf,,TL-SG108,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SG108(UN)4.0_1516617261419g.jpg,Datasheet,https://www.tp-link.com/pt/support/download/tl-sg108/v4/
Tp-link,,https://static.tp-link.com/2018/201805/20180517/7106507649_Rackmount Switch_(EU2-12Languages)_Installation Guide.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024_8.0_1500943084007t.JPG,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sf1024/v8/
Tp-link,,https://static.tp-link.com/resources/document/TL-SF1024_V8_IG_7106504436.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/SF1024_8.0_1500943084007t.JPG,Manual,https://www.tp-link.com/pt/support/download/tl-sf1024/v8/
Tp-link,,https://static.tp-link.com/2018/201809/20180926/TL-SF1016  TL-SF1024_Datasheet.pdf,,TL-SF1024,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SF1024_UN_9.0_1500942905096s.jpg,Datasheet,https://www.tp-link.com/pt/support/download/tl-sf1024/v9/
Tp-link,,https://static.tp-link.com/2019/201903/20190308/7106508318_TL-SG105(UN)4.0&TL-SG105S(UN)1.1.pdf,,TL-SG108,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SG108(UN)4.0_1516617261419g.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg108/v4/
Tp-link,,https://static.tp-link.com/2020/202008/20200828/7106508917_Desktop Switch(EU1-12Languages).pdf,,TL-SG108,,JetStream Switches,Switches Sem Gestão,,tp-link.com,https://static.tp-link.com/TL-SG108(UN)4.0_1516617261419g.jpg,Installation Guide,https://www.tp-link.com/pt/support/download/tl-sg108/v4/
